"sample.id","value","dataset.id","site.id","site.name","depth","elev","type","pub_year","age","geometry"
163777,12.45,17419,11617,"Cumbres Bog",84.5,3100,"fossil",2010,1624,c(-106.45052, 37.021745)
163778,11.07,17419,11617,"Cumbres Bog",92.5,3100,"fossil",2010,1700,c(-106.45052, 37.021745)
163779,19.18,17419,11617,"Cumbres Bog",98,3100,"fossil",2010,1752,c(-106.45052, 37.021745)
163780,12.01,17419,11617,"Cumbres Bog",108,3100,"fossil",2010,1840,c(-106.45052, 37.021745)
163781,15.7,17419,11617,"Cumbres Bog",118,3100,"fossil",2010,1929,c(-106.45052, 37.021745)
163782,21.47,17419,11617,"Cumbres Bog",128,3100,"fossil",2010,2017,c(-106.45052, 37.021745)
163783,14.35,17419,11617,"Cumbres Bog",137,3100,"fossil",2010,2100,c(-106.45052, 37.021745)
163784,11.88,17419,11617,"Cumbres Bog",148,3100,"fossil",2010,2201,c(-106.45052, 37.021745)
163785,16.84,17419,11617,"Cumbres Bog",158,3100,"fossil",2010,2305,c(-106.45052, 37.021745)
163786,10.05,17419,11617,"Cumbres Bog",168,3100,"fossil",2010,2493,c(-106.45052, 37.021745)
163788,17.58,17419,11617,"Cumbres Bog",178,3100,"fossil",2010,2708,c(-106.45052, 37.021745)
163789,16.5,17419,11617,"Cumbres Bog",188,3100,"fossil",2010,2918,c(-106.45052, 37.021745)
163790,19.93,17419,11617,"Cumbres Bog",193,3100,"fossil",2010,3029,c(-106.45052, 37.021745)
163791,13.33,17419,11617,"Cumbres Bog",203,3100,"fossil",2010,3257,c(-106.45052, 37.021745)
163792,12.41,17419,11617,"Cumbres Bog",213,3100,"fossil",2010,3485,c(-106.45052, 37.021745)
163793,14.15,17419,11617,"Cumbres Bog",223,3100,"fossil",2010,3723,c(-106.45052, 37.021745)
163796,14.42,17419,11617,"Cumbres Bog",253,3100,"fossil",2010,4271,c(-106.45052, 37.021745)
163797,15.46,17419,11617,"Cumbres Bog",263,3100,"fossil",2010,4600,c(-106.45052, 37.021745)
163798,11.18,17419,11617,"Cumbres Bog",273,3100,"fossil",2010,4833,c(-106.45052, 37.021745)
163799,18.82,17419,11617,"Cumbres Bog",283,3100,"fossil",2010,5191,c(-106.45052, 37.021745)
192433,11.79,20838,13683,"Purple Lake",40,3226,"fossil",2012,820,c(-111.57115, 38.07438)
192434,10.85,20838,13683,"Purple Lake",48,3226,"fossil",2012,1199,c(-111.57115, 38.07438)
192435,10.32,20838,13683,"Purple Lake",56,3226,"fossil",2012,1590,c(-111.57115, 38.07438)
192437,11.65,20838,13683,"Purple Lake",72,3226,"fossil",2012,2351,c(-111.57115, 38.07438)
