Year,Prop in niche,Prop in niche (Gaussian centered),Prop in niche (linear lagged)
261,0.2635125448028674,0.633342367286947,0.727144253595867
262,0.49405017921146954,0.621379421724011,0.710324132259616
263,0.7207168458781362,0.615318354368525,0.686403823178017
264,0.5782078853046595,0.611131431596692,0.667761485826002
265,0.2541935483870968,0.611353535907603,0.689805582708808
266,0.5429390681003584,0.616218084438267,0.747374823503856
267,0.5763440860215053,0.625779463053498,0.741232292200034
268,0.8283870967741935,0.638973914094791,0.737960247637667
269,0.646594982078853,0.650717960595681,0.745597914630173
270,0.6199283154121864,0.663369488287189,0.721229499294015
271,0.8683870967741936,0.676928460256549,0.702049062049062
272,0.7731899641577061,0.690896985636337,0.691198932489255
273,0.9191397849462366,0.700991714659492,0.67716302813077
274,0.33835125448028674,0.706362234550303,0.692129901162159
275,0.7803584229390681,0.710346766859486,0.67087030054772
276,0.7753405017921147,0.715969202237965,0.64561932690965
277,0.8172043010752689,0.718925594143981,0.621329733587798
278,0.7197132616487455,0.721928985090897,0.616843705875964
279,0.4904659498207885,0.723600576252906,0.614097968936679
280,0.774910394265233,0.724397470835258,0.599492932396158
281,0.833405017921147,0.719422356250164,0.596576517866841
282,0.7099641577060932,0.71338467751223,0.633494390913746
283,0.79584229390681,0.709312546016803,0.650760756567208
284,0.6754121863799283,0.700806687169345,0.647224937547518
285,0.5776344086021505,0.698886142494173,0.656641995996835
286,0.7027956989247311,0.691992508572967,0.697456903908517
287,0.8554838709677419,0.68134017560488,0.713375226923614
288,0.8917562724014337,0.674808950900426,0.727622150847957
289,0.8867383512544803,0.671057859967391,0.719208676628031
290,0.5440860215053763,0.666871265309377,0.726877996555416
291,0.05921146953405018,0.665312051685274,0.734544213253891
292,0.429247311827957,0.665098412099384,0.717722229980294
293,0.7042293906810035,0.669170551576255,0.709256000868904
294,0.5284587813620072,0.675595239982701,0.685830346475508
295,0.9138351254480287,0.684967204683151,0.717694921565889
296,0.9231541218637993,0.695141514909177,0.70999518999519
297,0.5346236559139785,0.703278966391986,0.701709568806343
298,0.9792114695340501,0.708804272640585,0.690319477416252
299,0.949247311827957,0.715349036991864,0.688785861689088
300,0.48,0.720440708040701,0.708047603531475
301,0.7984229390681004,0.726191186005558,0.701552545423513
302,0.6150537634408603,0.733016604535678,0.688794550730035
303,0.6503225806451612,0.733467549567038,0.687000263774457
304,0.7351971326164874,0.730972084597615,0.677136340362147
305,0.7634408602150538,0.723013867594509,0.678601685053298
306,0.7281720430107527,0.71595087662813,0.689607596704371
