Year,Average prod (kg/ha),Average prod (Gaussian centered),Average prod (linear lagged)
758,166.93831647703328,182.68067488579,170.197695682367
759,167.6970694620031,187.40547742009,170.979814626306
760,213.93001123753336,191.624505316935,171.07688322938
761,258.4438386711617,195.415918161079,165.903813623867
762,253.84956630144683,199.268833398005,166.116039655784
763,179.16359390363814,202.457372761612,167.166571576338
764,244.37689633375473,205.53118476873,167.230793197765
765,187.05509903076276,207.738853115603,166.38911870952
766,193.9817653462565,210.403752659231,166.226914903353
767,168.69285538699256,212.467215656004,165.887064766015
768,179.83734548391627,215.25004442075,171.126133520808
769,238.63401636465795,217.222561640631,175.812982672733
770,232.94426007866272,219.554090825898,177.450681260258
771,226.4281324624245,221.598401260254,177.895705900131
772,239.61492133726648,223.086777736829,182.144414579544
773,247.4223556679309,224.102758169946,183.084016828328
774,215.4723100154516,225.138106477687,190.518171298197
775,217.13099627756708,225.153590227245,193.358738603603
776,252.12226085124314,224.996931416377,200.014049083028
777,229.7370153813738,223.734343920813,203.061352341062
778,263.68239921337266,221.938096327013,209.734152447964
779,190.21586599241468,219.424276165084,214.473234390744
780,232.13513133867116,215.908913998977,219.422291438252
781,238.59604579294844,212.176886655581,220.275133149264
782,214.45475136957438,208.399491091831,216.890834326043
783,177.1049655850541,204.31264363492,213.591968918612
784,170.95590146087935,201.268652855293,217.047206229412
785,199.58611637870487,198.870535896808,214.380062020786
786,199.0980123612867,196.769604533942,216.976124118191
787,173.93087161118135,195.181547865634,218.855688872045
788,181.25856861918808,195.044091707361,223.088642467356
789,191.62080348363534,194.869246208909,226.359471240002
790,187.19519946621716,196.640785382017,224.062469253367
791,182.70899178255374,198.64464320029,222.065249144263
792,184.8642189914314,201.584995485831,220.480473911653
793,164.39710633515944,205.290850352999,217.371281443658
794,254.58447464531534,209.678458106656,213.583327062388
795,232.36882813597416,214.079947090299,212.773067385978
796,203.35470220536592,218.181709363154,211.7523804127
797,215.99351208034835,222.074442482378,207.394267877438
798,256.48386360443885,225.363153937983,205.186964879364
799,190.18778093833404,227.853667943231,199.575559375891
800,252.49531184155077,229.965997824051,200.912537610467
801,241.61645771878074,231.439871670266,198.479718243783
802,269.6375280938334,232.242378275283,195.593921728877
803,260.31139380530976,232.214332220564,195.101301946988
804,255.91086353420425,231.437685241472,198.345268309791
805,233.95980825958702,229.329988908531,202.420984687341
806,226.87335826661047,227.164747160609,204.012080842438
807,216.3773879758393,225.59788747109,205.722352581866
808,173.93255724118555,224.049564100722,209.720553504767
809,175.81879477454697,222.329323122188,213.02905134969
810,230.52600435454417,222.006574130992,215.563948626291
811,237.93600751510044,221.674223583553,218.720830718539
812,242.39724680432644,222.149450988035,222.543940587319
813,230.6197938614974,221.963999922752,226.369196791526
814,203.48263449922743,222.27240773898,232.224301021472
815,198.34321007163928,223.541503558748,229.637084909051
816,196.39053940160136,224.957642375384,228.91372285707
817,245.5250825256356,226.330831711573,231.010564375925
818,244.23456595027392,227.901620222577,232.080678823331
819,225.5972397808681,229.407829553677,229.336143894851
820,265.18567390082876,229.917108163552,232.943191775682
821,261.0003687315634,229.567599546467,230.922737093407
822,261.32831156061246,229.302381086622,229.97660185018
823,160.81926885798566,228.307555922871,226.01202185755
824,182.12278761061947,227.069887997762,222.55679344009
825,261.6918984407923,225.492833089365,219.526639354231
826,239.86600997331087,223.633225488575,218.517603720669
827,233.6644279393173,221.215138228688,218.182189383754
828,257.876141311982,218.106669125758,218.980602447022
829,233.75337126000844,214.853349867831,223.896601049019
830,175.05318513836212,211.334609765277,228.63780918419
831,185.38995118696445,207.468661830614,228.210240460715
832,232.85054958561597,204.116896023252,227.087020116887
833,186.33708210422813,201.266308529166,225.315547869277
834,190.10061104087652,198.82873336269,224.439345444086
835,177.94562965304115,196.571644066022,225.919607701845
836,196.49381057732828,193.874366790545,227.859084303696
837,182.30851418738587,191.949283860587,229.91511527289
838,190.14378775108864,190.6044294226,227.264623729621
839,191.33961932855738,189.951398905527,224.502469422112
840,164.61703715409467,190.047448458401,223.170633932486
841,177.48203750526758,190.428156119247,217.860180464874
842,215.27262431521282,191.066511573816,212.732253681843
843,232.2925182609917,192.085505683782,207.448817839463
844,156.0495153813738,194.149203880961,211.281919413873
845,186.50526759376316,196.503103810662,213.197309240135
846,172.7669616519174,199.564550536051,207.494187100066
847,183.1638133867116,202.582003464435,203.529772584371
848,194.88412171653323,206.620762115041,199.961258140067
849,238.98872734934682,210.500569795965,194.109915146894
850,235.5661609776654,214.908658724801,190.45939882389
851,177.04832139345413,219.748912766045,192.153900010885
852,201.9695796460177,223.884842439146,192.980468476834
853,250.3261430678466,227.133001981213,189.568089008196
854,263.76965690405956,229.484600989657,190.719412534836
855,248.05317635903918,232.495838454781,191.779473973374
856,260.72789366484056,234.295543351318,194.302898499169
857,223.43831647703328,235.316996752047,195.256767641802
858,272.93268893102965,234.92923311834,197.892521628299
859,222.35096221379408,233.731515137477,199.95540301577
860,256.1711792386571,231.878532596636,202.190228545159
861,262.6786153251861,229.388442097819,207.278888723184
862,209.8270297794634,227.620075461903,211.338025026315
863,187.7912013625509,225.046180417667,211.842686238704
864,168.87592182890856,221.674497675584,210.525553644628
865,252.43853596010675,219.059777620346,216.55687161787
866,238.1289331366765,217.122158093139,220.042963916147
867,228.71994837758112,214.687945659598,225.020213839983
868,180.89522756005056,213.691278183546,229.042474706429
869,195.73603209720466,212.542321398234,232.002940921162
870,227.4489833544037,212.147150251353,230.903941931202
871,191.98899072903498,212.196873383465,229.927439580015
872,244.59914489394578,212.712923382355,234.563168634755
873,194.7489289226015,213.37180599123,236.902070529204
874,157.02615360303415,214.707905639474,234.441025145197
875,231.92077538980195,216.356582199658,230.619968193767
876,246.12111953926114,217.641705691054,228.219318318639
877,168.52429238657115,219.551733099629,224.267271626627
878,258.6252546003652,221.300941482556,223.857510904603
879,238.13310331507233,222.752048432196,218.797614220892
880,223.33052394999297,224.499783419676,218.340296856653
881,255.8896175726928,225.786708860598,214.807195426664
882,247.8664050428431,226.374522714133,210.618386775466
883,173.28380039331367,226.276983579102,211.076071921126
884,216.4806767102121,226.110074082187,213.661211058572
885,224.813070655991,225.312733979209,218.208073222138
886,247.1341656131479,224.392566918122,215.135371458854
887,268.88493819356654,222.226959126927,213.496685558553
888,227.80541508638854,220.200034942989,212.709402890503
889,174.89531535327995,216.818464489417,216.243848469038
890,258.5511834527321,213.417944072594,218.701057060886
891,250.26971835932014,209.464178866535,218.374061144526
892,168.61286697569884,205.355988916124,221.169505580457
893,190.04373858688018,201.670959088835,218.946038138595
894,180.5386290209299,198.819482410638,221.192892062519
895,150.94994030060403,195.491878411139,226.842785243623
896,265.0286732687175,191.947875227329,225.827400677353
897,169.5432645034415,188.365213986461,223.189569867904
898,169.4310033010254,185.250020729465,227.60992122781
899,165.72863990729036,183.178914502267,223.437126175669
900,179.48017628880461,181.521169277235,220.87334519264
901,144.55752212389382,179.523053447378,219.314244576887
902,186.31452802359883,177.473316383028,214.494035495221
903,217.83543159151566,176.102544540064,210.273205156739
904,218.8850435454418,174.634966917885,213.030019583591
905,182.48457472959686,173.103129360985,211.712675981718
906,132.6022878915578,171.898604249272,209.23866114337
907,121.02167614833544,170.089015171584,204.189514341537
908,157.66125860373648,169.251101571851,196.681536787415
909,192.89765065318161,168.768459645975,192.756945470599
910,167.3849820901812,169.027967666807,193.609850955221
911,190.70399634780165,169.76396176858,186.563966755022
912,148.75465304115747,170.412187390413,179.83148386064
913,148.91697394296952,171.310780843797,180.437087485839
914,172.78395842112656,172.019271379761,179.019712392421
915,159.55645982581822,173.266637191418,178.375606267357
916,171.13012712459616,175.542186516983,180.508741051172
917,190.70860549234442,177.586306307498,171.949350033658
918,168.62499122067706,179.620892449848,172.066475513062
919,187.75133445708667,181.551650893238,172.273115349206
920,225.85837196235425,182.60262669086,173.076635546057
921,230.73443426042982,183.798740940801,172.851895976501
922,140.70576977103525,184.621646748806,175.785268896599
923,177.4621172215199,186.1517818842,174.884228246586
924,148.82490518331227,187.093938236243,170.818904041012
925,180.94943109987358,188.456136702823,166.493937136399
926,235.0570919370698,190.337039569283,165.705690415077
927,165.42067003792667,192.065013370889,169.59426796105
928,187.25899002668913,194.3902534881,174.822370011292
929,230.3442635903919,197.359508115063,177.034245972457
930,174.6406886500913,200.436407195531,175.963779097945
931,183.51201011378004,203.726094105755,177.282459703288
932,183.49871821885097,206.894646035883,176.450038241363
933,229.5606124455682,211.372976393493,179.781002791749
934,175.93642014327855,214.795523977991,183.214178196084
935,242.875570655991,218.141731607516,184.78105463156
936,256.3640873015873,220.686239543811,187.969511577761
937,217.46986936367466,221.993648085316,190.306421896103
938,259.0425797162523,223.088935134632,191.159288614883
939,254.5197798145807,223.074055547741,194.391595542749
940,236.06429976120242,222.165674553195,196.094291030527
941,243.56548496979912,221.070060876385,194.409364550325
942,193.74122945638433,219.641363315427,192.121015935649
943,243.10033888186544,218.090417555488,198.460357898411
944,183.83280657395701,216.082430097089,201.485792471096
945,195.20188053097345,214.460067511263,207.315376083391
946,202.42635903919088,212.759906819501,210.31752196275
947,187.56729351032448,211.689706020851,208.195206041208
948,188.10266540244416,211.173184201962,212.501664384803
949,196.422197640118,210.298050078056,214.862488476664
950,226.29243046776233,210.272268513132,213.28892911415
951,221.43009025143982,210.455819330604,216.98188263193
952,246.5329839162804,210.982522738679,220.141170448693
953,247.1146316196095,211.830746615341,223.577060184045
954,220.95378564405112,212.600879213705,222.788245999213
955,180.948368801798,214.021311027937,226.896055134756
956,198.07878564405112,215.918726497824,224.72456147472
957,214.44886922320552,217.757029121127,221.145387868207
958,185.2876457367608,219.815871196187,220.962735270652
959,161.29504670599803,221.976352609806,216.577595874767
960,230.53682048040454,224.557108728354,212.499797771527
